index,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
0,level_of_injury,9-11,6-8,Lena,difficulty_to_rescue,28,"['Robbie', 'Lena', 'Simone']","['Robbie', 'Lena', 'Simone']","['Simone', 'Lena', 'Robbie']"
1,difficulty_to_reach,6-8,9-11,Robbie,difficulty_to_reach,23,"['Robbie', 'Lena', 'Simone']","['Robbie', 'Lena', 'Simone']","['Robbie', 'Lena', 'Simone']"
2,difficulty_to_reach,6-8,9-11,Lena,difficulty_to_rescue,28,"['Lena', 'Simone', 'Robbie']","['Lena', 'Simone', 'Robbie']","['Lena', 'Simone', 'Robbie']"
3,level_of_injury,9-11,6-8,Lena,difficulty_to_reach,28,"['Robbie', 'Lena', 'Simone']","['Lena', 'Robbie', 'Simone']","['Simone', 'Lena', 'Robbie']"
4,level_of_injury,12-14,3-5,Robbie,level_of_injury,23,"['Robbie', 'Simone', 'Lena']","['Robbie', 'Lena', 'Simone']","['Simone', 'Robbie', 'Lena']"
5,difficulty_to_reach,6-8,9-11,Robbie,difficulty_to_reach,23,"['Robbie', 'Lena', 'Simone']","['Robbie', 'Lena', 'Simone']","['Robbie', 'Simone', 'Lena']"
6,age,9-11,6-8,Simone,age,34,"['Simone', 'Lena', 'Robbie']","['Simone', 'Lena', 'Robbie']","['Simone', 'Lena', 'Robbie']"
7,age,12-14,3-5,Simone,age,34,"['Simone', 'Robbie', 'Lena']","['Simone', 'Lena', 'Robbie']","['Simone', 'Robbie', 'Lena']"
8,difficulty_to_reach,12-14,3-5,Simone,difficulty_to_rescue,34,"['Simone', 'Lena', 'Robbie']","['Simone', 'Lena', 'Robbie']","['Simone', 'Lena', 'Robbie']"
9,level_of_injury,9-11,6-8,Robbie,difficulty_to_rescue,23,"['Robbie', 'Lena', 'Simone']","['Robbie', 'Lena', 'Simone']","['Simone', 'Robbie', 'Lena']"
10,difficulty_to_reach,12-14,3-5,Lena,difficulty_to_rescue,28,"['Lena', 'Simone', 'Robbie']","['Simone', 'Lena', 'Robbie']","['Lena', 'Simone', 'Robbie']"
11,age,12-14,3-5,Robbie,age,23,"['Robbie', 'Lena', 'Simone']","['Robbie', 'Lena', 'Simone']","['Robbie', 'Lena', 'Simone']"
12,level_of_injury,12-14,3-5,Simone,level_of_injury,34,"['Simone', 'Robbie', 'Lena']","['Simone', 'Robbie', 'Lena']","['Robbie', 'Simone', 'Lena']"
13,level_of_injury,9-11,6-8,Robbie,difficulty_to_rescue,23,"['Robbie', 'Lena', 'Simone']","['Robbie', 'Lena', 'Simone']","['Simone', 'Robbie', 'Lena']"
14,level_of_injury,9-11,6-8,Robbie,difficulty_to_rescue,23,"['Robbie', 'Lena', 'Simone']","['Robbie', 'Lena', 'Simone']","['Simone', 'Robbie', 'Lena']"
15,difficulty_to_reach,6-8,9-11,Robbie,difficulty_to_reach,23,"['Robbie', 'Simone', 'Lena']","['Robbie', 'Lena', 'Simone']","['Robbie', 'Simone', 'Lena']"
16,difficulty_to_reach,6-8,9-11,Robbie,difficulty_to_reach,23,"['Robbie', 'Lena', 'Simone']","['Robbie', 'Lena', 'Simone']","['Robbie', 'Simone', 'Lena']"
